date,state,city_county,address,nkill,ninjured,operations
7-Jul-13,Illinois,Chicago,11300 block of South Forest Avenue,0,5,N/A
6-Jul-13,Alabama,Florence,West Mobile Street,0,4,N/A
6-Jul-13,New York,Brooklyn,472 Marcy Avenue,1,3,N/A
4-Jul-13,Michigan,Pontiac,441 N Perry St,1,6,N/A
4-Jul-13,Illinois,Chicago,6000 block of South Cottage Grove Avenue,0,4,N/A
1-Jul-13,Texas,Fort Worth,2900 block of Pate Drive,4,0,N/A
30-Jun-13,New York,Brooklyn,616 E. 52nd Street,0,9,N/A
30-Jun-13,Colorado,Aurora,2300 block of Paris St,0,4,N/A
29-Jun-13,South Carolina,North Charleston,4400 Dorchester Road; Suite 115,3,1,N/A
28-Jun-13,Illinois,Chicago,4800 block of North Sheridan Road,0,6,N/A
27-Jun-13,California,Three Rivers,39553-39833 Sierra Dr,2,2,N/A
25-Jun-13,Illinois,Chicago,73rd Street and King Drive,1,4,N/A
24-Jun-13,Missouri,Kansas City,1711 Kansas Avenue,1,3,N/A
23-Jun-13,Virginia,Virginia Beach,4600 block of Columbus Street,1,4,N/A
23-Jun-13,Louisiana,New Orleans,5700 block of Wickfield Drive,0,4,N/A
23-Jun-13,Missouri,Kansas City,1917 Prospect Ave,1,8,N/A
23-Jun-13,California,Sacramento,Sea Drift Way,1,3,N/A
23-Jun-13,Tennessee,Chattanooga,1501 Dodds Ave,1,4,N/A
22-Jun-13,Rhode Island,Providence,55 Curtis,0,4,N/A
22-Jun-13,Maryland,Baltimore,700 block of N. Kenwood Avenue,1,4,N/A
21-Jun-13,Illinois,Chicago,2900 block of North Kilpatrick Avenue,1,3,N/A
21-Jun-13,North Carolina,Greenville,205 Greenville Blvd SW,0,5,N/A
21-Jun-13,Virginia,Norfolk,1225 Tidewater Drive,0,6,N/A
16-Jun-13,Illinois,Chicago,900block of East 79th Street,1,3,N/A
15-Jun-13,Texas,Houston,9780 Bissonnet,1,3,N/A
15-Jun-13,Tennessee,Nashville,135 Brinkhaven Ave,0,4,N/A
15-Jun-13,Rhode Island,Providence,256 Hartford Ave,1,3,N/A
14-Jun-13,North Carolina,High Point,2201 Little Avenue,0,5,N/A
10-Jun-13,Illinois,Chicago,5700 block of South Sangamon Street,1,4,N/A
10-Jun-13,Missouri,Saint Louis,4700 block of Highland Ave,0,6,N/A
9-Jun-13,Pennsylvania,York,600 block of West Princess Street,0,4,N/A
7-Jun-13,California,Santa Monica,2036 Yorkshire Avenue,6,1,N/A
2-Jun-13,Georgia,Lagrange,Union Street,0,7,N/A
2-Jun-13,Virginia,Virginia Beach,4000 block of Roebling Lane,0,7,N/A
2-Jun-13,Indiana,Indianapolis,1913 East 46th Street,0,4,N/A
1-Jun-13,California,Vallejo,1st block of Linfield Drive,2,2,N/A
1-Jun-13,Wisconsin,Milwaukee,4126 N Teutonia Ave,0,4,N/A
31-May-13,Georgia,Atlanta,1000 block of Fair Street,0,4,N/A
29-May-13,Illinois,Chicago,N/A,0,4,N/A
28-May-13,Tennessee,Memphis,2850 Brewer Avenue,1,3,N/A
25-May-13,Virginia,Hampton,1900 block of Coliseum Drive,1,4,N/A
25-May-13,Michigan,Flint,1100 block of Paterson,1,3,N/A
24-May-13,California,Bakersfield,3700 block of Columbus Street,2,2,N/A
23-May-13,Tennessee,Bean Station,1034 Main Street,2,2,N/A
20-May-13,Illinois,Chicago,5200 block of West Iowa Street,0,4,N/A
19-May-13,Michigan,Detroit,N/A,0,4,N/A
19-May-13,Tennessee,Memphis,2281 Ketchum Rd,2,2,N/A
18-May-13,Virginia,Victoria,2073 Pleasant Oak Rd,0,4,N/A
16-May-13,Pennsylvania,Philadelphia,2600 block of Daggett Street,0,4,N/A
15-May-13,Michigan,Detroit,9000 block of Carlin,1,4,N/A
13-May-13,Ohio,Cincinnati,Kings Run Road,0,4,N/A
12-May-13,Louisiana,New Orleans,Frenchmen Street,0,19,N/A
12-May-13,Arizona,Apache Junction,3600 block of East Apache Trail,0,5,N/A
11-May-13,Indiana,Columbus,E Main Cross St,5,0,N/A
11-May-13,New Jersey,Jersey City,Fremont Street,0,4,N/A
11-May-13,Pennsylvania,Philadelphia,21st Street and Medary Avenue,0,4,N/A
10-May-13,California,Los Angeles,1600 block of West 205th Street,3,1,N/A
6-May-13,Pennsylvania,Johnstown,Horner and Messenger streets,0,4,N/A
5-May-13,California,Palo Alto,Bay Road and University Avenue,0,5,N/A
4-May-13,North Carolina,Smithfield,150 South Equity Drive,0,4,N/A
2-May-13,New Jersey,Newark,804 S. 16th St,0,5,N/A
28-Apr-13,Tennessee,Jackson,438 East Main Street,2,2,N/A
28-Apr-13,Pennsylvania,Chester,Rose and Upland Street,1,3,N/A
28-Apr-13,North Carolina,Charlotte,William Reynolds Drive,0,5,N/A
27-Apr-13,Florida,Williston,County Road 318,1,3,N/A
25-Apr-13,Ohio,Oberlin,500 block of West College Street,0,4,N/A
24-Apr-13,Illinois,Manchester,East Street,6,1,N/A
22-Apr-13,Louisiana,Harvey,2300 block of Lapalco Boulevard,0,5,N/A
22-Apr-13,Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,0,4,N/A
21-Apr-13,Washington,Federal Way,33300 block of 18th Lane South,5,0,N/A
18-Apr-13,Ohio,Akron,Kimlyn Circle,4,0,N/A
14-Apr-13,Arizona,Phoenix,12400 North 25th Avenue,2,4,N/A
14-Apr-13,Kentucky,Lexington,750 East New Circle Rd,1,4,N/A
10-Apr-13,California,Vallejo,1800 block of Mini Drive,0,4,N/A
9-Apr-13,Pennsylvania,Philadelphia,Somerset Street and Lee Street,1,3,N/A
7-Apr-13,California,Long Beach,300 block of East Home Street,1,3,N/A
7-Apr-13,New York,New York (Manhattan),900 Garden Way,1,3,N/A
6-Apr-13,South Carolina,Greenwood,Tabor Street,1,4,N/A
31-Mar-13,Washington,Auburn,2802 Auburn Way North,3,2,N/A
30-Mar-13,California,Merced (county),9200 block of Westside Boulevard,3,2,N/A
22-Mar-13,New York,Brooklyn,2703 W. 33rd Street,1,3,N/A
21-Mar-13,Missouri,Kansas City,4900 block of Brookside Blvd,1,3,N/A
21-Mar-13,Illinois,Chicago,West 87th Street and Ashland Avenue,0,7,N/A
17-Mar-13,Florida,Belle Glade,Northwest 16th Street and Northwest Avenue L,0,5,N/A
17-Mar-13,California,Stockton,1800 block of East Sonora Street,2,3,N/A
16-Mar-13,California,Galt,Dover Drive,0,7,N/A
14-Mar-13,California,Modesto,1400 block of Western Way,0,4,N/A
13-Mar-13,New York,Mohawk,17 W Main St,6,2,N/A
13-Mar-13,California,Oceanside,504 Calle Montecito,2,2,N/A
11-Mar-13,District of Columbia,Washington,1200 North Capitol Street,0,13,N/A
10-Mar-13,Missouri,Kansas City,9331 Hillcrest Rd,0,5,N/A
7-Mar-13,Mississippi,Jackson,2900 block of Greenwood Avenue,2,2,N/A
5-Mar-13,Indiana,Indianapolis,1800 block of Edinburge Square,1,3,N/A
4-Mar-13,California,Los Banos,800 block of La Mesa Lane,1,3,N/A
3-Mar-13,Michigan,Saginaw (county),4030 Dixie Hwy,0,4,N/A
3-Mar-13,Georgia,Moultrie,224 Second Street Northwest,2,2,N/A
2-Mar-13,Louisiana,Shreveport,7000 block of Burlingame Boulevard,1,3,N/A
24-Feb-13,Georgia,Macon,2800 block of Mercer University Drive,0,8,N/A
23-Feb-13,California,Lancaster,43145 Business Center Parkway,0,4,N/A
22-Feb-13,Michigan,Grand Rapids,1447 Grandville Ave. SW,0,4,N/A
21-Feb-13,Oklahoma,Tulsa,1200 block of North 89th East Avenue,1,3,N/A
19-Feb-13,California,Orange (county),Katella Avenue,4,3,N/A
12-Feb-13,Utah,Midvale,8286 Adams Street and 450 West Street,4,1,N/A
11-Feb-13,Delaware,Wilmington,500 North King Street,3,2,N/A
11-Feb-13,California,Vallejo,800 block of Humboldt Street,1,4,N/A
9-Feb-13,Louisiana,New Orleans,400 block of Bourbon Street,0,4,N/A
7-Feb-13,Illinois,Chicago,2500 block of East 75th Street,0,4,N/A
3-Feb-13,California,Yuba (county),5800 block of Poplar Avenue,1,3,N/A
2-Feb-13,Tennessee,Memphis,2514 Mount Moriah,0,5,N/A
26-Jan-13,Ohio,Springfield,601 West Main Street,1,3,N/A
26-Jan-13,District of Columbia,Washington,2403 Benning Road Northeast,0,5,N/A
26-Jan-13,Louisiana,Charenton,1000 block of Flat Town Road,2,3,N/A
25-Jan-13,Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,1,3,N/A
23-Jan-13,Tennessee,Chattanooga,1501 Dodds Ave,1,3,N/A
23-Jan-13,Maryland,Baltimore,1500 block of W. Fayette St.,1,6,N/A
21-Jan-13,California,Brentwood,1100 block of Breton Drive,0,4,N/A
21-Jan-13,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,0,5,N/A
19-Jan-13,New Mexico,Albuquerque,2806 Long Lane,5,0,N/A
7-Jan-13,Oklahoma,Tulsa,6000 block of South Owasso,4,0,N/A
1-Jan-13,California,Hawthorne,13500 block of Cerise Avenue,1,3,N/A
1-Jan-13,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,N/A
31-Dec-14,California,Los Angeles,81st Street and Western Avenue,1,3,N/A
29-Dec-14,Louisiana,New Orleans,Poydras and Bolivar,0,4,N/A
27-Dec-14,California,Los Angeles,8800 block of South Figueroa Street,1,3,N/A
27-Dec-14,California,Sacramento,4000 block of May Street,0,4,N/A
26-Dec-14,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,N/A
24-Dec-14,Missouri,Saint Louis,18th and Pine,1,3,N/A
23-Dec-14,Kentucky,Winchester,260 Oxford Drive,1,3,N/A
22-Dec-14,Michigan,Detroit,Charlevoix and Philip,1,3,N/A
22-Dec-14,New York,Webster,191 Lake Road,4,2,N/A
22-Dec-14,Illinois,Chicago,5700 block of South Green Street,0,5,N/A
21-Dec-14,Florida,Sarasota,4034 N Washington Blvd,2,2,N/A
